CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window,ADDRESS WITH GEOCODE
2020145997,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/16/20,1:00 PM,11,2020,OPEN,N,,,,,1601 E 18th St,64108,Wendell Phillips,Jackson,3,Central,13300,39.090921,-94.563071,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020145997,0,"1601 E 18th St64108
(39.090921, -94.563071)"
2020148244,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,4:14 PM,11,2020,OPEN,N,,,,,6901 NW 83rd Ter,64152,Platte Ridge,Platte,2,North,243140,39.244933,-94.660716,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148244,0,"6901 NW 83rd Ter64152
(39.244933, -94.660716)"
2020148234,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,3:52 PM,11,2020,OPEN,N,,,,,5016 Blue Ridge Blvd,64133,Sterling Gardens,Jackson,3,East,49078,39.029964,-94.43969,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148234,0,"5016 Blue Ridge Blvd64133
(39.029964, -94.43969)"
2020148167,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,2:37 PM,11,2020,OPEN,N,,,,,333 W Pershing Rd,64108,Crown Center,Jackson,4,Central,240682,39.081815,-94.589584,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148167,0,"333 W Pershing Rd64108
(39.081815, -94.589584)"
2020133086,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,10/8/20,9:39 AM,10,2020,OPEN,Y,,,,,10500 N Arrowhead Trfy,64155,Outer Gashland-Nashua,Clay,2,North,262947,39.283957,-94.58769,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020133086,30,"10500 N Arrowhead Trfy64155
(39.283957, -94.58769)"
2020121677,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,9/9/20,3:31 PM,9,2020,OPEN,Y,,,,,1800 N Corrington Ave,64120,,Jackson,4,East,208092,39.137348,-94.497202,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020121677,60,"1800 N Corrington Ave64120
(39.137348, -94.497202)"
2020148191,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,3:03 PM,11,2020,OPEN,N,,,,,4375 NE Chouteau Trfy,64117,Winnwood,Clay,1,Shoal Creek,217037,39.174335,-94.533062,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148191,0,"4375 NE Chouteau Trfy64117
(39.174335, -94.533062)"
2020148046,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,12:07 PM,11,2020,RESOL,N,11/20/20,11,2020,0,4166 NW Barry Rd,64154,Coves North,Platte,2,North,255233,39.24705,-94.629301,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148046,,"4166 NW Barry Rd64154
(39.24705, -94.629301)"
2020145731,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/16/20,7:40 AM,11,2020,OPEN,N,,,,,1800 E Front St,64120,Northeast Industrial District,Jackson,4,Central,39028,39.121698,-94.562036,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020145731,0,"1800 E Front St64120
(39.121698, -94.562036)"
2020148158,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,2:22 PM,11,2020,OPEN,N,,,,,8026 Wornall Rd,64114,West Waldo,Jackson,6,Metro,240183,38.982099,-94.595077,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148158,0,"8026 Wornall Rd64114
(38.982099, -94.595077)"
2020148072,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,12:33 PM,11,2020,OPEN,N,,,,,2651 E 34th St,64128,Oak Park Northwest,Jackson,3,East,281643,39.063917,-94.552527,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148072,0,"2651 E 34th St64128
(39.063917, -94.552527)"
2020148111,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-Business Question,Public Health,Disease Control,Business Question on Order,11/20/20,1:32 PM,11,2020,OPEN,N,,,,,414 E 12th St,64106,CBD Downtown,Jackson,4,Central,12614,39.100387,-94.577919,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148111,0,"414 E 12th St64106
(39.100387, -94.577919)"
2020147995,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,11:05 AM,11,2020,OPEN,N,,,,,7805 NW 97th Ter,64153,KCI & 2nd Creek,Platte,2,North,172000,39.269706,-94.670187,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147995,0,"7805 NW 97th Ter64153
(39.269706, -94.670187)"
2020147977,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,10:45 AM,11,2020,OPEN,N,,,,,1400 N Cambridge Ave,64120,,Jackson,4,East,243157,39.132313,-94.501121,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147977,0,"1400 N Cambridge Ave64120
(39.132313, -94.501121)"
2020147794,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/19/20,5:10 PM,11,2020,OPEN,N,,,,,8101 NW Roanridge Rd,64151,The Coves,Platte,2,North,160592,39.244159,-94.655398,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147794,0,"8101 NW Roanridge Rd64151
(39.244159, -94.655398)"
2020147482,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/19/20,10:49 AM,11,2020,OPEN,N,,,,,10002 N Ambassador Dr,64153,KCI & 2nd Creek,Platte,2,North,171966,39.275222,-94.669241,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147482,0,"10002 N Ambassador Dr64153
(39.275222, -94.669241)"
2020147463,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/19/20,10:35 AM,11,2020,OPEN,N,,,,,4760 Broadway Blvd,64112,Country Club Plaza,Jackson,4,Central,142327,39.040789,-94.59276,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147463,0,"4760 Broadway Blvd64112
(39.040789, -94.59276)"
2020147321,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/19/20,7:35 AM,11,2020,OPEN,N,,,,,8952 NW Skyview Ave,64154,Coves North,Platte,2,North,245854,39.257504,-94.653189,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147321,0,"8952 NW Skyview Ave64154
(39.257504, -94.653189)"
2020148053,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,12:16 PM,11,2020,OPEN,N,,,,,1350 E 17th St,64108,,Jackson,3,Central,12252,39.092472,-94.567172,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148053,0,"1350 E 17th St64108
(39.092472, -94.567172)"
2020148052,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,12:16 PM,11,2020,OPEN,N,,,,,3200 N Station Dr,64161,Birmingham Bottoms,Clay,1,Shoal Creek,79355,39.149998,-94.483174,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020148052,0,"3200 N Station Dr64161
(39.149998, -94.483174)"
2020147951,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,10:07 AM,11,2020,OPEN,N,,,,,4200 Independence Ave,64124,South Indian Mound,Jackson,4,East,44318,39.105985,-94.532446,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147951,0,"4200 Independence Ave64124
(39.105985, -94.532446)"
2020147949,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,10:07 AM,11,2020,OPEN,N,,,,,529 E Red Bridge Rd,64131,Red Bridge South,Jackson,6,South,214340,38.924519,-94.585357,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147949,0,"529 E Red Bridge Rd64131
(38.924519, -94.585357)"
2020147919,EMAIL,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,9:31 AM,11,2020,OPEN,N,,,,,301 W Armour Blvd,64111,Hanover Place,Jackson,4,Central,132098,39.06359,-94.589478,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147919,0,"301 W Armour Blvd64111
(39.06359, -94.589478)"
2020147913,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-Business Question,Public Health,Disease Control,Business Question on Order,11/20/20,9:24 AM,11,2020,OPEN,N,,,,,414 E 12th St,64106,CBD Downtown,Jackson,4,Central,12614,39.100387,-94.577919,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147913,0,"414 E 12th St64106
(39.100387, -94.577919)"
2020147893,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/20/20,8:56 AM,11,2020,OPEN,N,,,,,4225 N Oak Trfy,64116,Crestview,Clay,4,Shoal Creek,247984,39.170768,-94.576157,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147893,0,"4225 N Oak Trfy64116
(39.170768, -94.576157)"
2020147269,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/18/20,5:25 PM,11,2020,OPEN,N,,,,,302 W 8th St,64105,CBD Downtown,Jackson,4,Central,244542,39.104926,-94.586778,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147269,0,"302 W 8th St64105
(39.104926, -94.586778)"
2020147804,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/19/20,5:49 PM,11,2020,OPEN,N,,,,,5800 Wilson Rd,64123,South Indian Mound,Jackson,4,East,221703,39.106136,-94.513742,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147804,0,"5800 Wilson Rd64123
(39.106136, -94.513742)"
2020147773,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/19/20,4:35 PM,11,2020,OPEN,N,,,,,601 N Brasilia Ave,64153,KCI & 2nd Creek,Platte,2,North,229837,39.303521,-94.728412,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147773,0,"601 N Brasilia Ave64153
(39.303521, -94.728412)"
2020147268,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/18/20,5:22 PM,11,2020,RESOL,N,11/19/20,11,2020,1,1120 W 103rd St,64114,Lea Manor,Jackson,6,South,153179,38.942626,-94.606302,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147268,,"1120 W 103rd St64114
(38.942626, -94.606302)"
2020147168,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/18/20,2:41 PM,11,2020,RESOL,N,11/19/20,11,2020,1,8801 N Platte Purchase Dr,64155,Outer Gashland-Nashua,Clay,2,North,261476,39.254479,-94.598838,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147168,,"8801 N Platte Purchase Dr64155
(39.254479, -94.598838)"
2020147166,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/18/20,2:40 PM,11,2020,OPEN,N,,,,,1835 Independence Blvd,64124,Parkview,Jackson,3,Central,11732,39.106358,-94.558766,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147166,0,"1835 Independence Blvd64124
(39.106358, -94.558766)"
2020147148,WEB,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,11/18/20,2:15 PM,11,2020,OPEN,N,,,,,8701 NE 107th Pl,64157,Shoal Creek,Clay,1,Shoal Creek,99048,39.285963,-94.472954,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020147148,0,"8701 NE 107th Pl64157
(39.285963, -94.472954)"
